code_etab;nom_etab;telephone;e_mail;nom_proprio;nom_directeur;code_type_affiliation;type_affiliation;nif;foko_etab
306021003;ECOLE PRIVEE CATHOLIQUE SAINT PAUL AMBATOMAINTY;034 14 889 66;;ECAR;RANDRIAMANARIVO RICHARD JEROME;1;DINEC;;3060202
306021005;ECOLE PRIVEE CATHOLIQUE AMBOHIMANDROSO;034 84 844 27;;ECAR;RALAIVELO BERNARD;1;DINEC;;3060203
306021006;ECOLE PRIVEE CATHOLIQUE SAINTE THERESE DE L'ENFANT JESUS;;;ECAR;RAZAFINDRAIBE CYRILLE;1;DINEC;;3060201
306031002;ECOLE PRIVEE CATHOLIQUE VOHITR'I MARIA;034 33 843 83;;ECAR;RAKOTOMALALA Joseph Armand;1;DINEC;;3060301
306041005;COLLEGE PRIVE CATHOLIQUE BIENHEUREUX FRANCISCO MARTO AMBINANINDRANO CENTRE;034 29 186 94;havanakajy@yohoo.com;ECAR;ANDRIAMANARINAHASINDRAKAJY SERAPHIN;1;DINEC;;3060402
306051003;COLLEGE PRIVE CATHOLIQUE PERE ETIENNE DURIEZ;034 21 488 94;;ECAR;RAZAFIARISOA TOLOJANAHARY HONORINE;1;DINEC;;3060504
306071001;ECOLE PRIVEE CATHOLIQUE SAINTE THERESE ANDRANOMAHERY;034 94 346 75;;ECAR;RAHELIMAMPIONONA GINETTE;1;DINEC;;3060710
306071002;ECOLE PRIVEE CATHOLIQUE IVOLO;;;EGLISE CATHOLIQUE;RASOAHANITRINIALA MARIE ALBERTINE;1;DINEC;;3060711
306071003;ECOLE PRIVEE MON AVENIR BETHEL A ANKITAY;034 59 194 89;;NASOLO ANDRIAMAROHASY FREDIER;OLIARIMANASOA VIOLETTE;11;NON AFFILIÉ;;3060701
306081001;ECOLE PRIVEE CATHOLIQUE AMBOHIMIRARY;034 88 105 23;;ECAR;RAMARIVELO BERNADETTE;1;DINEC;;3060808
306081002;ECOLE PRIVEE CATHOLIQUE SAINT PAUL AMPAMAHOTRA;034 72 182 18;;EGLISE CATHOLIQUE;RAZAFINDRASOA SUZANNE ALBERTINE;1;DINEC;;3060803
306081003;ECOLE PRIVEE CATHOLIQUE AMBINOME;034 07 758 29;;EGLISE CATHOLIQUE;SOLONANDRASANA MARIE MADELEINE;1;DINEC;;3060802
306081006;COLLEGE PRIVE CATHOLIQUE FO MASIN'I JESOA;034 67 613 28;;ECAR;LANTONIRINA VONIMBOHIRANA PASCALINE EVA;1;DINEC;;3060807
306091001;ECOLE PRIVEE CATHOLIQUE SAINT JACQUES BERTHIEU;034 16 204 40;;ECAR;RAZAFIMAHAFALY JEAN THEODORE;1;DINEC;;3060901
306101003;ECOLE PRIVEE CATHOLIQUE SAINT FRANÇOIS D'ASSISE ANTOETRA;034 15 002 93;;EKAR;RAMANAMPANAHY EMILIENNE;1;DINEC;;3061010
306111002;COLLEGE PRIVE CATHOLIQUE SAINT JOSEPH FAHIZAY;034 01 509 48;;ECAR;RASOLONJATOVO THARGEAN MAHARAVO;1;DINEC;;3061106
306111003;ECOLE PRIVEE CATHOLIQUE VOLAZATO;034 89 685 99;;ECAR;RAMAROVAHOAKA SYMPHROSE;1;DINEC;;3061105
306121001;ECOLE PRIVEE CATHOLIQUE SAINT PIERRE AMBOHITSARATELO;034 45 376 68;;ECAR;RAVOAHIRAIAINA LALAOARISOA MARIE CLAIRE;1;DINEC;;3061204
306121002;ECOLE PRIVEE CATHOLIQUE SAINT PAUL AMBOHITRANAKOVA;034 68 430 97;;ECAR;RAZAFINDRAMANGA Marie Jeanne;1;DINEC;;3061205
306121003;ECOLE PRIVEE CATHOLIQUE SAINT JACQUES BERTHIEU SOARANO;034 78 691 90;;EGLISE CATHOLIQUE;RATAHIRINIAINA Marie Josepha;1;DINEC;;3061207
306131001;COLLEGE GILBERT RAMANANTOANINA;034 46 330 67;;ECAR;SŒUR LALAO CHARLINE;1;DINEC;;3061309
306131003;ECOLE PRIVEE CATHOLIQUE SAINT LOUIS SOANIERANA MAMOVOKA;034 23 819 36;;ECAR;RAVAONORO JULIA;1;DINEC;;3061311
306131008;COLLEGE LUTHERIEN PRIVE ILAKA CENTRE;034 41 134 07;;FLM ILAKA;RAKOTOARIMANANA CELESTIN;4;DN/FLM;;3061309
306131009;ECOLE PRIVEE CATHOLIQUE SAINT EDMOND SOANAFINDRA;038 05 155 53;;ECAR;RAVOLOLONIAINA MARIE LANTO SAFIDISOA;1;DINEC;;3061312
306141002;LYCEE PRIVE SAINT MICHEL IMERINA IMADY;;;ECAR;SR RAKOTOMAVO LALAINA;1;DINEC;;3061408
306141005;ECOLE PRIVEE FJKM FAHARETANA IMERINA IMADY;034 29 078 43;;FJKM;RAFARAHARIVELO SAHONDRA EUGENIE;2;DN/FJKM;;3061408
306151001;COLLEGE MASIMBAVY ANGELE IVATO CENTRE;033 05 540 54;;ECAR;RAMILIHARISOA NIRINA OLIVIA;1;DINEC;;3061510
306151002;ECOLE PRIVEE CATHOLIQUE SAINT FIDELE MARINERA;034 86 623 68;;ECAR;RANDRIAMANJATO RICHARD;1;DINEC;;3061505
306151003;CEG MAHAZINA;034 98 473 10;;CAPUCIN;RANDRIANILAINA LEON;1;DINEC;;3061515
306151004;ECOLE PRIVEE CATHOLIQUE SAINT IGNACE ANDRANONANAKOVA;034 94 624 13;;ECAR;RAZANAPARANY JEAN BAPTISTE;1;DINEC;;3061513
306151006;ECOLE PRIVEE FJKM AMBATOMENA;034 86 822 45;;ECAR;RASOARINIVO ELEOPHINE;1;DINEC;;3061501
306151007;ECOLE PRIVEE CATHOLIQUE SAINT PAUL SOAFANDRY;034 44 873 00;;ECAR;RAZAFISOA VICTOIRE CECILE;1;DINEC;;3061514
306151008;ECOLE PRIVEE CATHOLIQUE SAINT FRANCOIS D'ASSISE SOANIERANA;034 41 390 43;;ECAR;RANORO PIERRETTE;1;DINEC;;3061506
306151009;ECOLE PRIVEE CATHOLIQUE SAINT LOUIS DE GONZAGUE ANKORONA;034 15 680 91;;ECAR;SONJANAHARY JOSEPHINE;1;DINEC;;3061518
306161001;ECOLE PRIVEE CATHOLIQUE SAINT IGNACE DE LOYOLA;034 92 562 48;;ECAR;;1;DINEC;;3061606
306171002;LYCEE PRIVE SAINT STANISLAS;034 44 606 41;;ECAR MAINTINANDRY;RALAY NIRINA JEAN GASTON;1;DINEC;;3061711
306171004;ECOLE PRIVEE CATHOLIQUE ANALAVELONA;034 14 546 76;;ECAR AMBALASOARAY;RAKOTOMAHAFALY Martin Roger;1;DINEC;;3061712
306171005;COLLEGE SAINT BENOIT ANKOSY;034 43 609 03;;ECAR;RAFILIPIONA RAZAFIMAMPIONONA;1;DINEC;;3061710
306171006;ECOLE PRIVEE CATHOLIQUE VICTOIRE RASOAMANARIVO ANDRANONAHANTONA;034 84 964 62;;ECAR;RANDRIAMIHAINGO MARTIAL;1;DINEC;;3061707
306171007;ECOLE PRIVEE CATHOLIQUE VOHIMASINA;034 53 108 28;;EGLISE CATHOLIQUE ROMAINE;RAKOTOMAHAFALY Daniel;1;DINEC;;3061709
306171009;ECOLE PRIVEE CATHOLIQUE SAINT JOSEPH AMBOLOTARA;034 28 907 50;;EKAR;MAMINIAINA Fanirisoa Stéphane;1;DINEC;;3061705
306171014;COLLEGE FJKM TSIMIALONJAFY;034 84 241 34;;FJKM;RAZAFIARISOA VOAHANGILALAO;2;DN/FJKM;;3061711
306181001;ECOLE PRIVEE CATHOLIQUE MAHAZINA;;;EKAR;RANDRIATSILAVINA JEAN DE DIEU;1;DINEC;;3061806
306191001;COLLEGE FJKM MAHEFA MAROSOA;034 38 515 85;;FJKM MAROSOA;RANDRIAMAMPIONONA DIMBINANDRASANA;2;DN/FJKM;;3061915
306191003;ECOLE PRIVEE CATHOLIQUE SACRE-COEUR MANGAZO;034 87 642 39;;ECAR;RAZANABAO Georgette;1;DINEC;;3061914
306191004;ECOLE PRIVEE CATHOLIQUE SAINT FRANÇOIS XAVIER ANKAREFO;034 57 186 04;;EGLISE CATHOLIQUE ROMANA;RAKOTONIRINA EMILE;1;DINEC;;3061905
306191005;ECOLE PRIVEE RAINOSOALAMBO MAROSOA;034 38 594 06;;FIFOHAZAN'NY MPIANATRY NY TOMPO SOATANANA ETO MADAGASIKARA NIANDOHA TAO AMBATORENY (FFSM);RAVELOMANANTSOA Zafindradaoro Jean Benjamin;6;FFSM;;3061915
306201003;ECOLE PRIVEE CATHOLIQUE IHENINKENINA;;;ECAR;RAKOTONDRINA LOUIS DE GONZAGUE;1;DINEC;;3062005
306201004;ECOLE PRIVEE CATHOLIQUE SOAMANDROSO;034 91 836 03;;ECAR;RAKOTOZANDRY NOELSON NATHALNAEL;1;DINEC;;3062003
306201005;ECOLE PRIVEE ADVENTISTE;034 50 959 53;;ADVENTISTE;RAZAFIMIANDRISOA VOAHANGINIRINA;5;DN/ADVENTISTE;;3062004
306211002;ECOLE PRIVEE CATHOLIQUE FO MASIN'I JESOA (AMBATOMALAMA);;;ECAR;RAZAFIMAMONJY FRANCOIS;1;DINEC;;3062104
306211004;ECOLE PRIVEE CATHOLIQUE SAINT PASCAL IARINORO;033 74 596 14;;ECAR;RAKOTONDRAINIBE DANIEL;1;DINEC;;3062111
306211007;ECOLE PRIVEE CATHOLIQUE AMBOHIMANDROSO;;;ECAR;RAKOTOMALALA LUCIEN WILLIEN;1;DINEC;;3062117
306211008;ECOLE PRIVEE CATHOLIQUE AMBALAVAO;034 50 071 18;;ECAR;RAVONIARISOA HARILALAO MARIE LEA;1;DINEC;;3062102
306211009;ECOLE PRIVEE CATHOLIQUE AMBOHIPIA;034 52 208 64;;ECAR;RANDRIANILAINA JEAN DE DIEU;1;DINEC;;3062101
306231009;ECOLE PRIVEE CATHOLIQUE SAINTE THERESE VOHIDAHY CENTRE;034 53 011 62;;ECAR;SOANDALANA GERMAINE;1;DINEC;;3062307
306241002;LYCEE PRIVE FITSIMBINANA ADVENTISTE;034 92 023 66;;EGLISE ADVENTISTE;RANDRIANARIVO RAKOTONIRINA DAVIDSON;5;DN/ADVENTISTE;;3062401
306241003;LYCEE PRIVE CATHOLIQUE SAINT JOSEPH DE CLUNY;034 29 987 67;;COMMUNAUTE DE SŒURS SAINT JOSEPH DE CLUNY ;SŒUR LANTONIRINA LALAO VEROTIANA JOCELYNE;1;DINEC;2;3062410
306241005;LYCEE PRIVE LA SOURCE;034 45 063 50;;RANDRIANASOLO ARMAND;RANDRIAMAHENINA ARMAND;4;DN/FLM;;3062421
306241006;LYCEE FJKM BENJAMIN ESCANDE AMBOSITRA;034 92 793 47;diocletienne.benaverana@yahoo.com;SYNODAMPARITANY AMORON'I MANIA;BENAVERANA DIOCLETIENNE LODIE;2;DN/FJKM;2009920122;3062403
306241007;COLLEGE PRIVE FJKM GRACIA AMBOHIPIARENANA;034 11 198 21;gracia.ambositra@gmail.com;FJKM;RAKOTOSON;2;DN/FJKM;4011778211;3062404
306241009;COLLEGE PRIVE MATTHIEU;034 16 382 09;;RASOARIVELO MARTHE;RASOARIVELO MARTHE;8;DN/ELM;8,51E+16;3062410
306241010;COLLEGE AU PETIT EDEN;034 84 627 22;;RAMIRIORA Zaz';RAMIRIORA Zaz';8;DN/ELM;4003884501;3062414
306241011;ECOLE PRIVEE FANASOAVANA;034 52 966 28;;HANTANIAINA SOLO PASCALINE;HANTANIAINA SOLO PASCALINE;11;NON AFFILIÉ;;3062418
306241012;ECOLE PRIVEE LOVASOA;034 48 376 90;;RAKOTOZANDRY NAIVOSON;HAJASOA HOBINIAINA NOMENJANAHARY;11;NON AFFILIÉ;;3062419
306241015;COLLEGE PRIVE JEAN PAUL II TANAMAHALANA;034 73 836 62;;RASOA JUSTINE;RASOA JUSTINE;11;NON AFFILIÉ;;3062419
306241016;COLLEGE PRIVE LA PRINTANIA;034 08 127 56;;RAZAFINDRAKOTO CATHY ONY SEHENO;ANDRIANIRINA ORNELLA MIRANDA;11;NON AFFILIÉ;6002846694;3062417
306241019;ECOLE PRIVEE MAHATOKY;034 68 717 18;;FANJAHARIVONY MALAZAMANGA Olivia;FANJAHARIVONY OLIVIA;10;AILE;;3062409
306241020;ECOLE PRIVEE LE PETIT POUCET AMBALAMAHASOA;034 13 499 42;isabellerazaiarisoa@gmail.com;RAZAIARISOA ISABELLE;RAZAFINDRAZAY SAHOLY;11;NON AFFILIÉ;;3062402
306241022;COLLEGE PRIVE AVENIR;034 75 423 27;;RAZAZAROANABAVY MARIE ANTOINETTE;RAZAZAROANABAVY MARIE ANTOINETTE;11;NON AFFILIÉ;;3062413
306241024;ECOLE PRIVEE CATHOLIQUE SACRE-COEUR DE JESUS SOAFIERENANA;034 15 938 79;;ECAR;SR RASOARIMALALA JEANNETTE;1;DINEC;;3062415
306010002;EPP ALAKAMISY AMBOHIJATO;034 27 059 92;;;;;;;3060103
306010003;EPP AMBALAVAO CENTRE;034 36 870 33;;;;;;;3060101
306010004;EPP AMBATOVIHINA;;;;;;;;3060102
306010005;EPP AMBOHIJATO;034 93 516 37;;;;;;;3060103
306010006;EPP ANTEZA MANGARIVOTRA;034 46 657 80;;;;;;;3060104
306010007;EPP BEHENA;034 86 937 46;;;;;;;3060105
306010008;EPP FANDRAOFANA;034 79 176 76;;;;;;;3060106
306010009;EPP IHABOBO;034 54 451 38;;;;;;;3060102
306010010;EPP IVOLO FIRAISANA;034 97 425 92;;;;;;;3060107
306010011;EPP RAHAMELONA;034 14 748 22;;;;;;;3060109
306010012;EPP SOAROTANANA;034 93 362 35;;;;;;;3060108
306020002;EPP AMBALAMANAKANA;034 26 673 17;;;;;;;3060201
306020003;EPP AMBATOMAINTY;034 11 651 01;;;;;;;3060202
306020004;EPP ANTANAMBAO;034 57 189 45;;;;;;;3060204
306020005;EPP MAHASOABE;034 62 410 63;;;;;;;3060201
306020006;EPP MANARINONY;034 21 630 64;;;;;;;3060205
306020007;EPP MANINAIVO;034 52 967 32;;;;;;;3060206
306020008;EPP SAHATSIARA;033 01 462 75;;;;;;;3060207
306020010;EPP AMBOZONTANY;;;;;;;;3060203
306020012;EPP ANTOBY;034 53 008 47;;;;;;;3060207
306030002;EPP AMBATOFITORAHANA;034 50 248 62;;;;;;;3060301
306030003;EPP ANTETY;;;;;;;;3060306
306030004;EPP FARIHILALINA;033 03 764 42;;;;;;;3060302
306030005;EPP MIANDRIFAIKONA;;;;;;;;3060303
306030006;EPP MIANDRITSARA;034 37 877 18;;;;;;;3060304
306030007;EPP NANDIHIZANA;034 97 045 06;;;;;;;3060305
306030008;EPP TANANDAVA;034 63 862 23;;;;;;;3060307
306040003;EPP AMBALARAVINA;034 66 592 85;;;;;;;3060402
306040005;EPP AMBINANINDRANO;034 48 754 47;;;;;;;3060402
306040006;EPP AMBODIARA;034 55 856 95;;;;;;;3060403
306040007;EPP AMBODIAVIAVY;034 78 345 83;;;;;;;3060404
306040009;EPP AMBODIRIANA;034 60 598 50;;;;;;;3060408
306040010;EPP AMBOHIMAHATSARA;034 63 034 28;;;;;;;3060409
306040012;EPP AMPASIMADINIKA;034 13 061 81;;;;;;;3060401
306040013;EPP AMPASIMADINIKAKELY;034 71 300 51;justinrabendrina@gmail.com;;;;;;3060404
306040014;EPP ANDAKANA;034 82 364 13;;;;;;;3060408
306040015;EPP ANDRANOMAHITSY;034 38 792 45;;;;;;;3060401
306040016;EPP ANKAZOVELONA;034 94 598 75;;;;;;;3060409
306040017;EPP ANKERANA;034 52 971 39;;;;;;;3060410
306040018;EPP ANKILAHILA;034 70 152 16;;;;;;;3060405
306040019;EPP BETAMBA;034 09 395 48;;;;;;;3060404
306040021;EPP ILEMPONA II;034 41 856 06;;;;;;;3060406
306040022;EPP MAHAVELONA ALAKAMISY;034 93 839 95;;;;;;;3060403
306040023;EPP MANOLOTSARA;034 47 276 08;;;;;;;3060409
306040024;EPP MARIMARINA;034 93 351 23;;;;;;;3060407
306040025;EPP MAROFAHANA I;034 24 878 31;;;;;;;3060408
306040026;EPP MORAFENO;034 92 985 01;;;;;;;3060409
306040027;EPP SAHAFALEFIKA;034 03 961 05;;;;;;;3060414
306040028;EPP SAHANJAZA;034 33 036 31;;;;;;;3060402
306040029;EPP SAHATROTROKA;034 69 769 28;;;;;;;3060401
306040030;EPP SOANIERANA;034 59 280 45;;;;;;;3060410
306040031;EPP TSARARIVOTRA;034 91 358 46;;;;;;;3060403
306040032;EPP VOHIBOLA;034 91 303 80;;;;;;;3060412
306040033;EPP VOHIBOLAKELY;034 54 399 03;;;;;;;3060401
306040034;EPP VOHITRAIVO;;;;;;;;3060413
306040039;EPP TSARAHONENANA;034 76 704 05;;;;;;;3060405
306050002;EPP AMBALAMAHASOA SUD;034 59 388 62;;;;;;;3060504
306050003;EPP AMBATOLAMPY;034 37 408 55;;;;;;;3060501
306050004;EPP AMBOHIMANANA EST;034 58 583 70;;;;;;;3060502
306050005;EPP AMBOHIMANARIVO;;;;;;;;3060503
306050006;EPP AMBOHIMANJAKA;034 88 090 46;;;;;;;3060504
306050007;EPP AMBOHIMITOMBO I;034 92 912 02;;;;;;;3060505
306050008;EPP AMBOHIPO;034 61 642 72;;;;;;;3060506
306050009;EPP AMONGY;034 38 344 78;;;;;;;3060503
306050010;EPP ANDEMPONTANY;034 46 426 58;;;;;;;3062204
306050011;EPP ANTANIFOTSY;034 55 950 95;;;;;;;3060507
306050012;EPP ANTOBY;034 14 464 72;;;;;;;3060502
306050013;EPP IFASINA;034 55 964 15;;;;;;;3060508
306050014;EPP ITANDROKA;034 25 586 93;;;;;;;3060509
306050015;EPP KIDODO;034 65 403 78;;;;;;;3060510
306050016;EPP MAHAMBO;034 73 319 76;;;;;;;3060511
306050017;EPP MANINDROAVIA;034 88 736 67;;;;;;;3060512
306050018;EPP RANOMENA SUD;034 91 354 78;;;;;;;3060513
306050020;EPP SOANIHANTANA;034 09 867 45;;;;;;;3060503
306050021;EPP SOANIERANA;034 16 326 68;;;;;;;3060504
306050022;EPP MASIAKA;034 69 220 73;;;;;;;3060507
306050023;EPP BEVATSILANA;034 58 648 83;;;;;;;3060505
306070003;EPP AMPILA;034 80 086 61;;;;;;;3060704
306070004;EPP ANAPEMBY;034 70 441 87;;;;;;;3060705
306070005;EPP ANDRANOVORY;034 61 079 73;;;;;;;3060706
306070006;EPP ANKIRA;034 17 621 09;;;;;;;3060708
306070007;EPP ANTANIFOTSY;034 91 301 74;;;;;;;3060711
306070008;EPP ANTSAHAVITA;034 16 156 40;;;;;;;3060712
306070009;EPP FASIMENA;034 13 233 49;;;;;;;3060713
306070010;EPP MASAPOANA;034 05 164 72;;;;;;;3060710
306070011;EPP SOANIERANA;034 99 179 50;;;;;;;3060715
306070012;EPP TSARAHASINA;034 33 062 08;;;;;;;3060717
306070013;EPP TSARATANANA;034 36 879 72;;;;;;;3060718
306070014;EPP VATAMBE;034 24 927 18;;;;;;;3060720
306070015;EPP VINANINORO;034 71 256 55;;;;;;;3060721
306070016;EPP VOHIMALAZA;034 55 993 07;;;;;;;3060722
306070017;EPP VOLAZATO;034 52 134 68;;;;;;;3060723
306070018;EPP AMBOHIPONANA;034 81 604 31;;;;;;;3060703
306070021;EPP MANISA;034 30 789 25;;;;;;;3060714
306080002;EPP AMBAHOMBE;034 93 300 79;;;;;;;3060812
306080003;EPP AMBALAVATO;034 45 253 51;;;;;;;3060803
306080004;EPP AMBINOME;034 82 972 80;;;;;;;3060802
306080005;EPP AMBOHITRALA;034 27 222 03;;;;;;;3060809
306080006;EPP AMPASINA;034 70 385 35;;;;;;;3060804
306080007;EPP AMPITERENA;034 72 880 30;;;;;;;3060805
306080008;EPP ANDINA;034 38 947 80;;;;;;;3060806
306080009;EPP ANJAMA;034 32 605 23;;;;;;;3060808
306080010;EPP LOAHARANO;034 82 920 43;;;;;;;3060812
306080011;EPP MARINERA;;;;;;;;3060813
306080012;EPP SAHAMIANDONAKA;034 29 933 54;;;;;;;3060805
306080013;EPP SAHASAORINA;034 58 581 64;;;;;;;3060801
306080014;EPP SOANIERANA;034 37 589 01;;;;;;;3060810
306080015;EPP TALAKY;034 15 423 78;;;;;;;3060814
306080016;EPP TANANOMBY;034 07 927 28;;;;;;;3060815
306080017;EPP VOHITRAIVO;;;;;;;;3060811
306090002;EPP AMBATOMENALOHA;034 48 379 00;;;;;;;3060901
306090003;EPP AMPANASAMAINA;034 39 571 17;;;;;;;3060902
306090004;EPP AMPANAZAVA;034 11 993 51;;;;;;;3060903
306090005;EPP ANASANA;030 60 900 05;;;;;;;3060904
306100002;EPP AMBAHONA;;;;;;;;3061001
306100003;EPP AMBALAMAHARAVO;034 91 751 17;;;;;;;3061010
306100004;EPP AMBALAVERO;034 80 562 96;;;;;;;3061002
306100005;EPP AMBATOMALAMA;;;;;;;;3061003
306100006;EPP AMBOASARY;034 38 305 47;;;;;;;3061013
306100007;EPP AMPANENJANANDAVA;034 10 523 94;;;;;;;3061004
306100008;EPP AMPASINA;034 29 969 89;;;;;;;3061012
306100009;EPP ANALAMANANA;034 16 157 85;;;;;;;3061005
306100010;EPP ANDRAITOKONANA;034 27 638 12;;;;;;;3061006
306100011;EPP ANJOROZORO;034 38 423 01;;;;;;;3061007
306100012;EPP ANKARENANA;034 81 733 44;;;;;;;3061008
306100013;EPP ANOSIZATO;034 07 920 91;;;;;;;3061009
306100014;EPP ANTANAMBAO NORD;034 39 974 87;;;;;;;3061006
306100015;EPP ANTETEZANDROTRA;034 38 403 56;;;;;;;3061016
306100016;EPP ANTOETRA;034 81 680 23;;;;;;;3061010
306100017;EPP BESINGAHORY;034 33 442 87;;;;;;;3061002
306100018;EPP FALIARIVO;034 98 017 91;;;;;;;3061011
306100019;EPP FEMPINA;034 52 952 78;;;;;;;3061012
306100020;EPP HOLOMA;034 02 693 10;;;;;;;3061010
306100021;EPP SAHAMBALOTRA;034 35 943 87;;;;;;;3061001
306100022;EPP SAKAIVO NORD;034 77 390 80;;;;;;;3061013
306100023;EPP SAKAIVO SUD;034 57 348 63;;;;;;;3061014
306100024;EPP SOAMANDROSO;034 87 623 92;;;;;;;3061015
306100025;EPP SOANIERANA;034 38 452 52;;;;;;;3061007
306100026;EPP TANAMBAO SUD;;;;;;;;3061007
306100027;EPP VANANA;;;;;;;;3061014
306100028;EPP VOHITRANDRIANA;034 55 862 00;;;;;;;3061017
306100030;EPP SOMAINA;034 43 652 04;jeanpaulin172@gmail.com;;;;;;3061014
306100033;EPP MORARANO;034 85 811 68;;;;;;;3061005
306110001;EPP AMBOHITSOA;034 19 685 24;;;;;;;3061107
306110002;EPP AMPAHIPENO;034 38 452 82;;;;;;;3061101
306110003;EPP ANKORABE;034 82 922 19;;;;;;;3061103
306110004;EPP ANOVY;034 53 105 36;;;;;;;3061104
306110005;EPP FAHIZAY;034 02 694 82;;;;;;;3061106
306110006;EPP SOAMANDROSO;034 14 685 11;;;;;;;3061102
306110007;EPP SOANIERANA VOLAZATO;034 17 731 26;;;;;;;3061105
306120001;EPP AMBATONANDRIANA;034 05 163 76;;;;;;;3061201
306120002;EPP AMBOHIMANANA;034 41 589 35;;;;;;;3061202
306120003;EPP AMBOHIMIRARY;034 89 987 97;;;;;;;3061203
306120004;EPP AMBOHITRANAKOVA;034 26 212 79;;;;;;;3061205
306120005;EPP AMBOHITSOA;034 64 362 27;;;;;;;3061206
306120006;EPP MALAKIALINA;034 96 694 06;;;;;;;3061207
306120007;EPP MANDRITSARA;034 65 731 24;;;;;;;3061204
306120008;EPP MANDROVANA;034 35 955 37;;;;;;;3061208
306120009;EPP TSARAMANDROSO;034 54 572 41;;;;;;;3061209
306120010;EPP SOAFIERENANA;034 82 918 41;;;;;;;3061209
306130003;EPP AMBALATANY;034 53 348 24;;;;;;;3061301
306130004;EPP AMBALAVAO;034 89 484 96;;;;;;;3061302
306130005;EPP AMBOHIPERIVOANA;032 80 798 40;;;;;;;3062501
306130006;EPP AMBONIRIANA;034 42 467 96;;;;;;;3061306
306130007;EPP ANDAKANA;034 26 560 67;;;;;;;3061304
306130008;EPP ANTANIMENAKELY;034 55 512 96;;;;;;;3061306
306130009;EPP ANTOKODAMBO;034 55 966 33;;;;;;;3062503
306130010;EPP BEMASOANDRO;034 03 910 65;;;;;;;3062504
306130011;EPP FANDRIANJATO;034 14 467 09;;;;;;;3061307
306130012;EPP IKIANJA;034 73 340 13;;;;;;;3061308
306130013;EPP ILAKA CENTRE;034 72 880 16;;;;;;;3061309
306130014;EPP MORARANO I;034 48 831 34;;;;;;;3061312
306130015;EPP SOARANO;034 91 359 39;;;;;;;3062502
306130016;EPP SOAVINA;034 79 256 46;;;;;;;3061313
306130017;EPP TSARAMANDROSO;034 38 532 61;;;;;;;3062505
306130022;EPP ANKENIHENY;034 93 770 35;;;;;;;3061305
306140002;EPP AMPOTAKA;034 46 652 18;;;;;;;3061404
306140003;EPP ANKARINARIVO;034 14 472 56;;;;;;;3061406
306140004;EPP IMADY;;;;;;;;3061408
306140005;EPP MANDRITSARA;034 91 327 00;;;;;;;3061409
306150002;EPP AMBALALEHIBE;034 52 958 71;;;;;;;3061501
306150003;EPP AMBOHIPANALINANA;;;;;;;;3061504
306150004;EPP AMINDRAZAKA;034 50 181 86;;;;;;;3061505
306150005;EPP AMPANAFANANA;;;;;;;;3061507
306150006;EPP ANKARAMAINTY;034 62 886 29;;;;;;;3061508
306150007;EPP ANKOTSAKA;034 92 645 52;;;;;;;3061509
306150008;EPP BEZEZIKA;033 79 181 03;;;;;;;3061509
306150009;EPP IVATO-CENTRE;034 67 593 57;;;;;;;3061510
306150010;EPP MANANGARY;034 19 981 62;;;;;;;3061511
306150011;EPP MIARINA;034 88 105 92;;;;;;;3061512
306150012;EPP SAHABE;034 24 398 77;;;;;;;3061513
306150013;EPP TANGINA;;;;;;;;3061515
306150014;EPP TOARENY;034 70 726 07;;;;;;;3061516
306150015;EPP TSAINGY;034 72 784 04;;;;;;;3061518
306150016;EPP TSARARIVOTRA;034 66 606 64;;;;;;;3061517
306150021;EPP AMBANITANANA;034 15 670 99;;;;;;;3061503
306160001;EPP AMBIVISORATRA;;;;;;;;3061601
306160002;EPP AMBOHIMAHATSIAHY;034 93 437 03;;;;;;;3061602
306160003;EPP AMBOHIMANDROSO;034 67 603 46;;;;;;;3061603
306160004;EPP IVONY FIRAISANTSOA;034 03 950 33;;;;;;;3061604
306160005;EPP MAINTITONDRO;034 46 315 00;;;;;;;3061606
306160006;EPP VONDRONAMBOHITRA;;;;;;;;3061605
306170002;EPP AMBALASOARAY;034 14 463 16;;;;;;;3061701
306170003;EPP AMBODIVOLAMENA;034 54 724 46;;;;;;;3061702
306170004;EPP AMBOHIBARY;034 43 239 52;;;;;;;3061703
306170005;EPP AMBOHIMANDROSO;034 36 869 52;;;;;;;3061704
306170006;EPP AMBOLOTARA;034 91 362 58;;;;;;;3061705
306170007;EPP ANASANA;034 38 241 53;;;;;;;3061706
306170008;EPP ANJANINA;034 93 129 80;;;;;;;3061708
306170009;EPP ANKARINJATO;034 41 089 29;;;;;;;3061709
306170011;EPP FOALAHY;034 12 671 37;;;;;;;3061707
306170012;EPP KIANJANDRAKEFINA;034 55 949 97;;;;;;;3061711
306170013;EPP MAROFOTOTRA;034 93 486 76;;;;;;;3061712
306170014;EPP NAMELANA;034 80 329 96;;;;;;;3061713
306170015;EPP SOAFIHERENANA;034 73 359 13;;;;;;;3061714
306170016;EPP SOANIRINA;034 47 667 88;;;;;;;3061715
306170017;EPP TSIMATAHODALANA;034 14 454 76;;;;;;;3061716
306180002;EPP AMBALAMAHASOA;034 03 410 48;;;;;;;3061801
306180003;EPP AMBOHIPIERENANA;;;;;;;;3061802
306180004;EPP AMBY;034 65 303 72;;;;;;;3061803
306180005;EPP ANALAFADIANA;034 92 736 14;;;;;;;3061806
306180006;EPP ANDOHARANO;038 08 740 73;;;;;;;3061804
